ANO_ELEICAO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO,QT_VOTOS_SAMIR,QT_VOTOS_VALIDOS_SECAO,Local_Busca_Geografica
2024,RIO BRANCO,9,134,ESCOLA PÚBLICA RAIMUNDO GOMES DE OLIVEIRA,6,1333,"RIO BRANCO, Acre, Brasil, ESCOLA PÚBLICA RAIMUNDO GOMES DE OLIVEIRA"
2024,RIO BRANCO,9,162,ESCOLA IRMÃ MARIA GABRIELA SOARES,5,1643,"RIO BRANCO, Acre, Brasil, ESCOLA IRMÃ MARIA GABRIELA SOARES"
2024,RIO BRANCO,9,397,ESCOLA ISMAEL GOMES DE CARVALHO,4,2330,"RIO BRANCO, Acre, Brasil, ESCOLA ISMAEL GOMES DE CARVALHO"
2024,RIO BRANCO,9,430,DETRAN (PRÉDIO INTEGRADO),12,1872,"RIO BRANCO, Acre, Brasil, DETRAN (PRÉDIO INTEGRADO)"
2024,RIO BRANCO,9,300,ESCOLA INFANTIL VALDIVA DE CASTRO DOS SANTOS,10,2038,"RIO BRANCO, Acre, Brasil, ESCOLA INFANTIL VALDIVA DE CASTRO DOS SANTOS"
2024,RIO BRANCO,1,380,INSTITUTO SAO JOSE,7,1473,"RIO BRANCO, Acre, Brasil, INSTITUTO SAO JOSE"
2024,RIO BRANCO,1,644,ESCOLA ESTADUAL PROFESSOR RAIMUNDO BORGES,4,3301,"RIO BRANCO, Acre, Brasil, ESCOLA ESTADUAL PROFESSOR RAIMUNDO BORGES"
2024,RIO BRANCO,9,429,ESCOLA PROFESSOR ALVARO VIEIRA DA ROCHA,5,2160,"RIO BRANCO, Acre, Brasil, ESCOLA PROFESSOR ALVARO VIEIRA DA ROCHA"
2024,RIO BRANCO,1,542,ESCOLA TUFIC ASSMAR,2,3115,"RIO BRANCO, Acre, Brasil, ESCOLA TUFIC ASSMAR"
2024,RIO BRANCO,9,360,ESCOLA PROFESSOR ALVARO VIEIRA DA ROCHA,3,2160,"RIO BRANCO, Acre, Brasil, ESCOLA PROFESSOR ALVARO VIEIRA DA ROCHA"
2024,RIO BRANCO,9,390,ESCOLA AME (ASSOCIAÇÃO MODERNA DE ENSINO),6,2313,"RIO BRANCO, Acre, Brasil, ESCOLA AME (ASSOCIAÇÃO MODERNA DE ENSINO)"
2024,RIO BRANCO,1,129,ESCOLA ANITA GARIBALDI,2,1384,"RIO BRANCO, Acre, Brasil, ESCOLA ANITA GARIBALDI"
2024,RIO BRANCO,1,746,ESCOLA DOM GIOCONDO MARIA GROTTI,7,3638,"RIO BRANCO, Acre, Brasil, ESCOLA DOM GIOCONDO MARIA GROTTI"
2024,RIO BRANCO,9,225,SEAGRI/CAGEACRE,6,1155,"RIO BRANCO, Acre, Brasil, SEAGRI/CAGEACRE"
2024,RIO BRANCO,1,801,COLÉGIO MILITAR DOM PEDRO II,5,3840,"RIO BRANCO, Acre, Brasil, COLÉGIO MILITAR DOM PEDRO II"
2024,RIO BRANCO,1,551,ESCOLA DR. JOSÉ CARVALHO,8,2763,"RIO BRANCO, Acre, Brasil, ESCOLA DR. JOSÉ CARVALHO"
2024,RIO BRANCO,9,453,ESCOLA JOÃO PAULO II,4,1252,"RIO BRANCO, Acre, Brasil, ESCOLA JOÃO PAULO II"
